concept_id_1,concept_id_2,relationship_id,valid_start_date,valid_end_date,invalid_reason
40221352,45095623,Mapped from,2017-10-23,2099-12-31,
1107882,44990544,Mapped from,2012-05-07,2099-12-31,
43587304,1539411,Marketed form of,2017-06-24,2099-12-31,
44430884,40163924,Maps to,2016-09-01,2099-12-31,
42840444,40229134,Maps to,2018-04-20,2099-12-31,
777017,19134047,Maps to,2020-01-12,2099-12-31,
44994474,40224805,Maps to,2010-09-07,2099-12-31,
44470048,40232448,Maps to,2017-10-23,2099-12-31,
21111908,1332419,Marketed form of,2017-06-24,2099-12-31,
45153855,957136,Maps to,2008-06-02,2099-12-31,
45633343,40232448,Maps to,1970-01-01,2099-12-31,
46271507,4081836,Has method,2015-07-31,2099-12-31,
45705843,19010522,Maps to,1970-01-01,2099-12-31,
45639313,19127922,SPL - RxNorm,2015-01-29,2099-12-31,
44350334,1551192,SPL - RxNorm,1970-01-01,2099-12-31,
36304367,3025315,Panel contains,1970-01-01,2099-12-31,
4240345,4039449,Finding method of,2011-07-31,2099-12-31,
4240345,4062168,Finding method of,2011-07-31,2099-12-31,
45672845,40232448,SPL - RxNorm,1970-01-01,2099-12-31,
4168862,4120961,Is a,2011-07-31,2099-12-31,
45767040,40480160,Is a,2015-01-31,2099-12-31,
37316871,19073183,Maps to,2020-05-10,2099-12-31,
45706056,40163924,SPL - RxNorm,2015-01-29,2099-12-31,
41460140,19076374,Marketed form of,2017-07-18,2099-12-31,
46305172,40229134,SPL - RxNorm,1970-01-01,2099-12-31,
45864324,715294,Maps to,2015-01-29,2099-12-31,
45294260,19073777,Maps to,1970-01-01,2099-12-31,
4301351,4107826,Asso proc of,2011-07-31,2099-12-31,
40053462,19078461,Concept replaced by,2012-10-01,2099-12-31,
192450,4118946,Mapped from,1970-01-01,2099-12-31,
40163924,44950227,Mapped from,2009-09-08,2099-12-31,
44909110,1551192,Maps to,2009-03-02,2099-12-31,
44444078,715294,Maps to,2016-09-01,2099-12-31,
40229134,45816637,Mapped from,2015-01-29,2099-12-31,
1001626,3019897,Panel contains,1970-01-01,2099-12-31,
1107882,2934078,Has marketed form,2021-06-30,2099-12-31,
1107882,36116181,Mapped from,2021-07-11,2099-12-31,
42869684,42869689,Contained in panel,1970-01-01,2099-12-31,
36061900,19122186,Box of,2020-08-17,2099-12-31,
1167323,44858671,Mapped from,1970-01-01,2099-12-31,
43012036,45372974,Mapped from,2013-03-04,2099-12-31,
45107422,1115171,Maps to,2010-04-05,2099-12-31,
4301351,44784293,Follows,2016-01-31,2099-12-31,
37602454,40162603,SPL - RxNorm,1970-01-01,2099-12-31,
44997094,19019273,Maps to,1970-01-01,2099-12-31,
997899,44410296,Mapped from,2016-04-01,2099-12-31,
40322513,4077953,Concept was_a to,2014-04-01,2099-12-31,
4082984,37016202,Interprets of,2016-01-31,2099-12-31,
42869723,1004593,Has method,2019-12-13,2099-12-31,
1718701,44159651,Has marketed form,2017-10-06,2099-12-31,
45687209,19075601,Maps to,1970-01-01,2099-12-31,
4029498,4154695,Subsumes,2011-07-31,2099-12-31,
45639430,19059056,Maps to,1970-01-01,2099-12-31,
4301351,199868,Follows,2019-01-31,2099-12-31,
45279677,19073094,Maps to,2009-12-07,2099-12-31,
40163924,45686522,RxNorm - SPL,2018-12-09,2099-12-31,
42935318,1107882,Tradename of,2018-08-21,2099-12-31,
4266970,4040786,Subsumes,2011-07-31,2099-12-31,
37298598,40232448,Maps to,2020-08-09,2099-12-31,
45641956,19078461,SPL - RxNorm,1970-01-01,2099-12-31,
44879278,40174880,Maps to,2013-10-02,2099-12-31,
44855434,19008572,Maps to,1970-01-01,2099-12-31,
19079658,44943929,Mapped from,1970-01-01,2099-12-31,
45033951,19134047,Maps to,2009-06-01,2099-12-31,
40770471,37079231,Has Answer,1970-01-01,2099-12-31,
45027510,19133905,Maps to,2009-03-02,2099-12-31,
45253239,1107882,Maps to,2014-03-03,2099-12-31,
45118983,19134047,Maps to,2010-02-01,2099-12-31,
41230775,19075601,Marketed form of,2017-07-18,2099-12-31,
35605482,35524244,Mapped from,2018-12-09,2099-12-31,
1107882,45317865,Mapped from,2010-08-02,2099-12-31,
4314290,40313254,Mapped from,1970-01-01,2099-12-31,
723042,45685286,RxNorm - SPL,2015-01-29,2099-12-31,
40228214,45355720,Mapped from,2014-03-03,2099-12-31,
723042,45836936,Mapped from,2015-01-29,2099-12-31,
37620935,40163924,Maps to,2020-09-01,2099-12-31,
43260855,40223768,Marketed form of,2017-06-24,2099-12-31,
19134047,41069569,Has marketed form,2017-07-18,2099-12-31,
46310234,19019273,SPL - RxNorm,1970-01-01,2099-12-31,
43271650,19075601,Box of,2016-09-30,2099-12-31,
36109462,40232448,Maps to,2019-11-10,2099-12-31,
35603224,44435630,Mapped from,2016-02-01,2099-12-31,
44980818,1127433,Maps to,1970-01-01,2099-12-31,
1167323,44494682,Mapped from,2017-10-23,2099-12-31,
44850723,19078461,Maps to,2011-07-05,2099-12-31,
829542,40160970,Maps to,2021-05-09,2099-12-31,
19079658,45348273,Mapped from,2009-01-05,2099-12-31,
1011927,42869855,Component of,2019-12-13,2099-12-31,
45688459,40162522,Maps to,1970-01-01,2099-12-31,
1829631,40163554,Maps to,2021-09-12,2099-12-31,
318800,36713494,Due to of,2017-01-31,2099-12-31,
43282473,19075601,Marketed form of,2017-06-24,2099-12-31,
44439564,40229134,Maps to,2016-06-01,2099-12-31,
21034250,19078461,Marketed form of,2017-06-24,2099-12-31,
40566667,37117046,Concept replaced by,2018-07-31,2099-12-31,
4128268,4133895,Has intent,2011-07-31,2099-12-31,
1753355,1107882,Maps to,2019-05-13,2099-12-31,
45677509,19078461,Maps to,1970-01-01,2099-12-31,
43526467,36246400,RxNorm is a,2016-08-01,2099-12-31,
19073777,19133860,Contained in,2009-03-02,2099-12-31,
45272749,19133905,Maps to,2013-03-04,2099-12-31,
45684850,19073094,SPL - RxNorm,2015-01-29,2099-12-31,
1545959,44103471,Has marketed form,2017-06-25,2099-12-31,
4240345,4235233,Finding method of,2011-07-31,2099-12-31,
1167323,36385323,Mapped from,2020-11-08,2099-12-31,
46308542,42628973,SPL - RxNorm,1970-01-01,2099-12-31,
40851793,1539463,Marketed form of,2017-07-18,2099-12-31,
4059385,4029715,Is a,2011-07-31,2099-12-31,
40949285,723042,Marketed form of,2017-07-18,2099-12-31,
21064553,957136,Box of,2015-08-17,2099-12-31,
40228214,45084007,Mapped from,2011-10-25,2099-12-31,
45192440,40162522,Maps to,2009-08-03,2099-12-31,
44960512,43012036,Maps to,1970-01-01,2099-12-31,
45688630,46275916,SPL - RxNorm,1970-01-01,2099-12-31,
1784403,46275444,SPL - RxNorm,2021-09-12,2099-12-31,
45652089,19008572,SPL - RxNorm,1970-01-01,2099-12-31,
4238738,44797009,Mapped from,2018-07-31,2099-12-31,
43055141,45878254,Has Answer,1970-01-01,2099-12-31,
42806474,19073183,SPL - RxNorm,1970-01-01,2099-12-31,
44813244,201965,Concept same_as to,2016-07-31,2099-12-31,
43012036,45191637,Mapped from,2013-03-04,2099-12-31,
3006734,3052983,Contained in panel,1970-01-01,2099-12-31,
42707627,19082103,RxNorm has dose form,2012-05-07,2099-12-31,
715294,41073703,Has marketed form,2017-07-18,2099-12-31,
4079768,4237321,Is a,2011-07-31,2099-12-31,
40802428,1778162,Brand name of,2017-07-18,2099-12-31,
42837754,920334,Maps to,2018-04-20,2099-12-31,
997899,36996333,Mapped from,2020-05-10,2099-12-31,
45311866,19075601,Maps to,2008-01-01,2099-12-31,
4295950,4254477,Has focus,2015-07-31,2099-12-31,
1545959,36601487,Mapped from,2019-11-10,2099-12-31,
723042,45245872,Mapped from,2011-09-06,2099-12-31,
42936172,40223768,Tradename of,2018-08-21,2099-12-31,
45644096,19078461,SPL - RxNorm,1970-01-01,2099-12-31,
45194665,723042,Maps to,1970-01-01,2099-12-31,
35887799,19022830,Marketed form of,2020-12-07,2099-12-31,
45088600,19073183,Maps to,1970-01-01,2099-12-31,
44344029,19008572,SPL - RxNorm,1970-01-01,2099-12-31,
40229134,44999092,Mapped from,2013-06-03,2099-12-31,
4203722,1576101,Mapped from,2019-10-26,2099-12-31,
44446191,723042,Maps to,2015-12-01,2099-12-31,
45839387,19078461,Maps to,2015-01-29,2099-12-31,
40185304,1229692,Mapped from,2021-02-01,2099-12-31,
715294,44484405,Mapped from,2017-10-23,2099-12-31,
41333454,40221836,Marketed form of,2017-07-18,2099-12-31,
45707385,1332419,Maps to,1970-01-01,2099-12-31,
45870393,1539463,Maps to,2015-01-29,2099-12-31,
44932359,1127433,Maps to,2010-12-06,2099-12-31,
1107882,42935315,Has tradename,2018-08-21,2099-12-31,
40163924,45843127,Mapped from,2015-01-29,2099-12-31,
255891,4346976,Due to of,2011-07-31,2099-12-31,
19079524,45082724,Mapped from,1970-01-01,2099-12-31,
45004572,19075601,Maps to,2008-01-01,2099-12-31,
4301351,3536695,Concept was_a from,2011-10-03,2099-12-31,
1526602,1115171,SPL - RxNorm,2020-01-12,2099-12-31,
45685508,40163554,SPL - RxNorm,2015-01-29,2099-12-31,
37621108,40163554,Maps to,2020-09-01,2099-12-31,
4157582,35605482,SNOMED - RxNorm eq,1970-01-01,2099-12-31,
1566228,1115171,Maps to,2019-03-10,2099-12-31,
44850053,1539411,Maps to,2013-06-03,2099-12-31,
1786621,19081057,RxNorm ing of,2005-04-04,2099-12-31,
45361415,19019273,Maps to,2007-10-01,2099-12-31,
1777806,4186990,RxNorm - SNOMED eq,1970-01-01,2099-12-31,
798894,19028343,Tradename of,2005-04-04,2099-12-31,
1713671,21110923,Available as box,2015-08-17,2099-12-31,
42866065,19075601,SPL - RxNorm,2020-04-12,2099-12-31,
45048352,40232448,Maps to,2011-04-04,2099-12-31,
40221901,44347022,RxNorm - SPL,1970-01-01,2099-12-31,
3541726,432545,Maps to,2020-07-31,2099-12-31,
45222575,957136,Maps to,2011-11-07,2099-12-31,
40220871,36001345,Mapped from,2019-02-10,2099-12-31,
4240345,4170784,Finding method of,2011-07-31,2099-12-31,
42833541,44784878,Maps to,2018-01-01,2099-12-31,
723042,45020984,Mapped from,2008-01-02,2099-12-31,
45382696,19019273,Maps to,1970-01-01,2099-12-31,
1713671,44436771,Mapped from,2015-12-01,2099-12-31,
45135588,19078461,Maps to,2011-03-07,2099-12-31,
1107882,35500790,Mapped from,2021-06-20,2099-12-31,
42534983,381316,Has due to,2018-01-31,2099-12-31,
42872411,4282096,Is a,2013-01-31,2099-12-31,
1545959,45633360,RxNorm - SPL,2015-01-29,2099-12-31,
40228214,44902047,Mapped from,2010-11-01,2099-12-31,
42822648,19008572,Maps to,2018-02-01,2099-12-31,
4112853,40320227,Concept was_a from,2014-04-01,2099-12-31,
43190127,1551192,Tradename of,2016-09-10,2099-12-31,
21163237,1539463,Marketed form of,2017-06-24,2099-12-31,
19118228,19033893,Constitutes,2005-09-16,2099-12-31,
45900143,1107882,Maps to,2017-10-23,2099-12-31,
19134047,44464985,Mapped from,2016-11-01,2099-12-31,
2101829,4311447,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
46233710,46318256,RxNorm - SPL,1970-01-01,2099-12-31,
45197256,19079658,Maps to,1970-01-01,2099-12-31,
44910471,19019273,Maps to,1970-01-01,2099-12-31,
45652120,40232448,SPL - RxNorm,2015-01-29,2099-12-31,
45675370,44784878,Maps to,1970-01-01,2099-12-31,
19134047,46287877,RxNorm - SPL,1970-01-01,2099-12-31,
40228214,44871920,Mapped from,2013-08-05,2099-12-31,
44442002,19075601,Maps to,2017-05-01,2099-12-31,
21162687,35606514,Marketed form of,2015-08-17,2099-12-31,
973343,19078461,Maps to,2019-08-18,2099-12-31,
19073777,758793,Mapped from,2019-06-16,2099-12-31,
45685015,19078461,SPL - RxNorm,2015-01-29,2099-12-31,
45643121,40232448,SPL - RxNorm,2015-01-29,2099-12-31,
46320712,19078461,SPL - RxNorm,1970-01-01,2099-12-31,
42936191,40223768,Tradename of,2018-08-21,2099-12-31,
42841413,957136,Maps to,2018-04-20,2099-12-31,
40916632,19078461,Marketed form of,2017-07-18,2099-12-31,
192450,4118946,Concept replaces,2013-01-31,2099-12-31,
45813740,19073094,Maps to,2015-01-29,2099-12-31,
997899,42832277,Mapped from,2018-02-01,2099-12-31,
40221355,43290408,Has tradename,2017-06-24,2099-12-31,
45125392,40163924,Maps to,2011-02-07,2099-12-31,
40236824,37294653,Mapped from,2020-08-09,2099-12-31,
44903719,19019273,Maps to,1970-01-01,2099-12-31,
40236824,45172530,Mapped from,1970-01-01,2099-12-31,
1167323,45677407,Mapped from,1970-01-01,2099-12-31,
45070261,1115171,Maps to,2009-06-01,2099-12-31,
36115700,19133905,Maps to,2021-07-11,2099-12-31,
19073777,1779552,Mapped from,2021-09-05,2099-12-31,
37602134,19134047,Maps to,2019-03-17,2099-12-31,
45644383,19078461,SPL - RxNorm,1970-01-01,2099-12-31,
45682021,40168187,Maps to,1970-01-01,2099-12-31,
45176902,19073094,Maps to,2009-12-07,2099-12-31,
45090001,40174880,Maps to,2014-03-03,2099-12-31,
1029597,3031616,Property of,2019-12-13,2099-12-31,
45854000,1539463,Maps to,2015-01-29,2099-12-31,
21133419,19073777,Marketed form of,2017-06-24,2099-12-31,
46233710,44873370,Mapped from,2017-10-23,2099-12-31,
43012036,42806182,RxNorm - SPL,1970-01-01,2099-12-31,
44949644,1115171,Maps to,2011-10-03,2099-12-31,
36210656,42869860,Subsumes,1970-01-01,2099-12-31,
3049715,3007727,Panel contains,1970-01-01,2099-12-31,
45012046,19133905,Maps to,2009-03-02,2099-12-31,
19073777,45328147,Mapped from,1970-01-01,2099-12-31,
44189655,40224805,Marketed form of,2018-08-02,2099-12-31,
45655327,40163554,SPL - RxNorm,2015-01-29,2099-12-31,
45276611,40232448,Maps to,2013-01-03,2099-12-31,
4258677,4013132,Subsumes,2011-07-31,2099-12-31,
1829632,40163554,Maps to,2021-09-12,2099-12-31,
45151965,1115171,Maps to,2010-06-07,2099-12-31,
1749008,35846176,Has brand name,2020-10-02,2099-12-31,
45141828,40160970,Maps to,2012-05-07,2099-12-31,
36217136,19028343,RxNorm inverse is a,2016-08-01,2099-12-31,
45853807,19073094,Maps to,2015-01-29,2099-12-31,
40722016,19075601,Marketed form of,2018-06-04,2099-12-31,
40228214,46365273,Mapped from,2015-10-01,2099-12-31,
45671540,40231925,Maps to,1970-01-01,2099-12-31,
36195537,40223768,Maps to,2018-09-23,2099-12-31,
35604143,44487308,Mapped from,2017-10-23,2099-12-31,
4023699,4290627,Is a,2011-07-31,2099-12-31,
36104018,19079658,Maps to,2019-07-07,2099-12-31,
3528202,4002575,Concept same_as to,2008-10-01,2099-12-31,
45788116,1539411,SPL - RxNorm,2015-01-29,2099-12-31,
45297576,957136,Maps to,2008-08-01,2099-12-31,
4240345,4062019,Finding method of,2011-07-31,2099-12-31,
45170511,1127433,Maps to,2010-12-06,2099-12-31,
723042,44850102,Mapped from,2013-08-05,2099-12-31,
715294,45897291,RxNorm - SPL,2015-03-26,2099-12-31,
40229134,44470946,Mapped from,2017-10-23,2099-12-31,
723042,43199955,Has marketed form,2017-06-24,2099-12-31,
45335313,40163554,Maps to,2009-08-03,2099-12-31,
769241,1332419,Maps to,2021-11-07,2099-12-31,
21055560,1519937,Marketed form of,2017-06-24,2099-12-31,
36006604,1127433,Maps to,2019-05-13,2099-12-31,
1033751,46234808,Scale type of,2019-12-13,2099-12-31,
46233710,44956030,Mapped from,2017-10-23,2099-12-31,
997899,45313326,Mapped from,1970-01-01,2099-12-31,
36143564,1107882,Maps to,2021-12-12,2099-12-31,
4203722,45609936,Mapped from,2019-10-26,2099-12-31,
19099674,46320860,RxNorm - SPL,1970-01-01,2099-12-31,
19073777,45314156,Mapped from,2008-10-01,2099-12-31,
36115449,715294,Maps to,2021-07-11,2099-12-31,
45111311,1707772,Maps to,2007-07-03,2099-12-31,
4168004,37309877,Asso morph of,2020-03-09,2099-12-31,
45825797,957136,Maps to,2015-01-29,2099-12-31,
44427365,1551192,Maps to,2016-10-01,2099-12-31,
1777806,35127644,Has brand name,2019-03-11,2099-12-31,
37513873,1115171,Maps to,2020-06-14,2099-12-31,
40244322,40232448,Concept replaced by,2018-12-03,2099-12-31,
4240345,4062823,Finding method of,2011-07-31,2099-12-31,
715294,36195252,Mapped from,2018-09-23,2099-12-31,
44447099,1107882,Maps to,2017-06-01,2099-12-31,
4301351,4245714,Due to of,2018-01-31,2099-12-31,
42827458,1115171,Maps to,2018-01-01,2099-12-31,
44956228,40232448,Maps to,2013-08-05,2099-12-31,
1545959,43515998,Available as box,2017-08-29,2099-12-31,
45623640,19078461,SPL - RxNorm,2015-01-29,2099-12-31,
4305432,4195803,Has interprets,2019-07-31,2099-12-31,
37294038,19076374,Maps to,2020-08-09,2099-12-31,
36388696,19019273,Maps to,2021-12-12,2099-12-31,
40229134,36368051,RxNorm - SPL,2020-11-08,2099-12-31,
40168884,44430302,Mapped from,2016-01-01,2099-12-31,
45644960,40163924,SPL - RxNorm,1970-01-01,2099-12-31,
45697022,40223768,SPL - RxNorm,2015-01-29,2099-12-31,
43012036,45349444,Mapped from,2013-03-04,2099-12-31,
2213580,4254477,CPT4 - SNOMED cat,1980-01-01,2099-12-31,
40654165,3012888,Subsumes,2018-06-15,2099-12-31,
45894171,19133905,SPL - RxNorm,2015-07-08,2099-12-31,
45361286,40224805,Maps to,2013-08-05,2099-12-31,
45025086,1539463,Maps to,2012-11-26,2099-12-31,
19018973,40232448,Maps to,2015-09-08,2099-12-31,
45644598,44784878,Maps to,1970-01-01,2099-12-31,
40185304,41197678,Has marketed form,2017-07-18,2099-12-31,
4087571,4295880,Subsumes,2011-07-31,2099-12-31,
42709983,4285898,Is a,2012-01-31,2099-12-31,
44438477,1332419,Maps to,2017-02-01,2099-12-31,
36197738,40174880,Maps to,2018-09-23,2099-12-31,
43012036,21155562,Has marketed form,2017-06-24,2099-12-31,
4332304,380378,Is a,2011-07-31,2099-12-31,
723042,35903127,RxNorm - SPL,1970-01-01,2099-12-31,
43012036,45338106,Mapped from,2013-03-04,2099-12-31,
46246545,40229134,Maps to,2015-07-08,2099-12-31,
44816277,4300267,RxNorm - SNOMED eq,1970-01-01,2099-12-31,
40185304,45204302,Mapped from,2011-10-25,2099-12-31,
1029816,40766239,Time aspect of,2019-12-13,2099-12-31,
37000456,40229134,Maps to,2021-12-19,2099-12-31,
44866313,19074843,Maps to,1970-01-01,2099-12-31,
43012036,45368576,Mapped from,2007-07-03,2099-12-31,
46244005,40162522,SPL - RxNorm,2015-07-08,2099-12-31,
42841414,957136,Maps to,2018-04-20,2099-12-31,
4240345,4062004,Finding method of,2011-07-31,2099-12-31,
44021385,1341927,Brand name of,2017-06-25,2099-12-31,
40185304,44341343,RxNorm - SPL,1970-01-01,2099-12-31,
40166320,45293127,Mapped from,2010-05-03,2099-12-31,
19134047,45223754,Mapped from,2009-06-01,2099-12-31,
1107882,45160168,Mapped from,2008-01-01,2099-12-31,
40738776,19022830,Marketed form of,2018-06-04,2099-12-31,
35603924,43646396,Has marketed form,2017-06-24,2099-12-31,
1103320,19134047,Concept replaced by,2012-10-01,2099-12-31,
44466881,19073777,Maps to,2016-07-01,2099-12-31,
36035760,1348267,Marketed form of,2021-06-17,2099-12-31,
46294806,723042,SPL - RxNorm,1970-01-01,2099-12-31,
36116150,19008572,Maps to,2021-07-11,2099-12-31,
44447268,40162603,Maps to,2017-01-01,2099-12-31,
35409153,1107882,Tradename of,2017-07-17,2099-12-31,
723042,36103211,RxNorm - SPL,2019-08-18,2099-12-31,
42658483,1344909,Marketed form of,2019-11-01,2099-12-31,
36180074,40163924,Maps to,2018-08-01,2099-12-31,
45018884,19019273,Maps to,1970-01-01,2099-12-31,
19134047,45689775,Mapped from,1970-01-01,2099-12-31,
4166761,4144541,Has dir proc site,2011-07-31,2099-12-31,
40745151,46234440,Marketed form of,2018-06-04,2099-12-31,
45653629,19019273,SPL - RxNorm,1970-01-01,2099-12-31,
19134047,35999847,Mapped from,2020-12-01,2099-12-31,
45849070,19077344,Maps to,2015-01-29,2099-12-31,
41038726,1539463,Marketed form of,2017-07-18,2099-12-31,
1830659,1332419,Marketed form of,2021-09-01,2099-12-31,
45679125,40232448,SPL - RxNorm,2015-01-29,2099-12-31,
19079658,44353547,RxNorm - SPL,1970-01-01,2099-12-31,
42930577,1332419,Tradename of,2018-08-21,2099-12-31,
35110255,35603224,Maps to,2020-08-09,2099-12-31,
1029816,46236327,Time aspect of,2019-12-13,2099-12-31,
40759172,1029636,Has property,2019-12-13,2099-12-31,
45788598,40162522,SPL - RxNorm,2015-01-29,2099-12-31,
1107882,44355183,RxNorm - SPL,1970-01-01,2099-12-31,
36182811,19008572,Maps to,2018-07-01,2099-12-31,
37110660,4155034,Is a,2017-07-31,2099-12-31,
44786936,40762499,Panel contains,1970-01-01,2099-12-31,
44480400,19134047,Maps to,2017-10-23,2099-12-31,
4240345,4062290,Finding method of,2011-07-31,2099-12-31,
1545959,45633360,Mapped from,1970-01-01,2099-12-31,
40228214,45678583,RxNorm - SPL,1970-01-01,2099-12-31,
41226552,1539463,Marketed form of,2017-07-18,2099-12-31,
4301351,37398951,Has complication,2018-01-31,2099-12-31,
1542863,40224805,SPL - RxNorm,2021-12-12,2099-12-31,
1167323,45199638,Mapped from,1970-01-01,2099-12-31,
45362078,1115171,Maps to,2013-03-04,2099-12-31,
40160970,42518603,RxNorm - SPL,2019-06-16,2099-12-31,
42655739,19079658,Marketed form of,2019-11-01,2099-12-31,
378419,43530664,Subsumes,2013-07-31,2099-12-31,
44906522,19028343,Maps to,2008-01-01,2099-12-31,
19134047,45003054,Mapped from,2009-06-01,2099-12-31,
46233710,44466574,Mapped from,2016-11-01,2099-12-31,
4029498,4286178,Subsumes,2011-07-31,2099-12-31,
1029816,3024731,Time aspect of,2019-12-13,2099-12-31,
45672469,19019273,Maps to,2013-10-07,2099-12-31,
40840321,1539463,Tradename of,2017-07-18,2099-12-31,
764273,4057411,Is a,2018-01-31,2099-12-31,
40228214,21089532,Has marketed form,2017-06-24,2099-12-31,
43291606,42628973,Marketed form of,2017-06-24,2099-12-31,
40228214,44918490,Mapped from,2010-11-01,2099-12-31,
36713247,36713251,Is a,2017-01-31,2099-12-31,
4125350,4169778,Subsumes,2020-07-31,2099-12-31,
46234440,36064871,Has marketed form,2020-08-17,2099-12-31,
4240345,4062171,Finding method of,2011-07-31,2099-12-31,
4240345,4039798,Finding method of,2011-07-31,2099-12-31,
40228214,44487873,Mapped from,2017-10-23,2099-12-31,
44424191,1115171,Maps to,2017-07-01,2099-12-31,
43677595,1539411,Tradename of,2016-07-01,2099-12-31,
36477876,19075601,Maps to,2017-11-01,2099-12-31,
37602594,46275507,SPL - RxNorm,1970-01-01,2099-12-31,
45659660,40223768,SPL - RxNorm,2015-01-29,2099-12-31,
378253,4036622,Subsumes,2011-07-31,2099-12-31,
45894025,1127433,SPL - RxNorm,2015-03-26,2099-12-31,
45272577,19078461,Maps to,2011-06-06,2099-12-31,
44929889,43012036,Maps to,2013-03-04,2099-12-31,
1107882,42659651,RxNorm - SPL,2020-02-09,2099-12-31,
44129618,1332419,Marketed form of,2017-06-25,2099-12-31,
35605482,45629366,RxNorm - SPL,1970-01-01,2099-12-31,
4240345,4063629,Finding method of,2011-07-31,2099-12-31,
40228214,36381563,Mapped from,2020-10-25,2099-12-31,
44363263,19073777,SPL - RxNorm,1970-01-01,2099-12-31,
